name,response_code,result_count,response_code2,result_count2,analysis_runtime
liljarn/tinkoffCourseJava2024,200,1,200,3,10.997844843001076
lin-mt/spring-boot,200,1,200,1,4.085953523997887
linux-china/jooq-demo,200,1,200,4,6.973174053000548
liuyueyi/spring-boot-demo,200,3,200,7,16.964353964998736
liuzheming/merchant-feecal-mvp,200,1,200,8,20.49544312999933
ljk0071/side-project-back,200,2,200,12,47.195047779998276
lsfoster64/gymhelper,200,1,200,1,7.602236179998727
lsn03/java-2023-backend-second-semester,200,1,200,6,8.43408499799989
lwbeamer/tinkoff-course,200,1,200,4,6.291330036001455
lzbkln/java-course-tinkoff-spring-2024,200,1,200,9,14.253194651999365
lzj09/sw-jooq,200,1,200,1,7.82507350999731
magicswissweed/MagicSwissWeed2.0,200,1,200,10,18.317563258999144
makeitfine-org/mif,200,1,200,3,3.67287233100069
maksmolchdmitr/tinkoffLinkUpdater,200,1,200,3,9.1931735390026
marcato10/manaca-framework,200,1,200,1,15.880023280002206
marijarin/tin_back_hws,200,1,200,2,5.007645696998225
marlind89/kensa,200,1,200,4,5.789110964000429
martynovvladislav/tinkoff-java-backend-course-2024,200,1,200,3,14.234447170001658
matco/hotspot-api,200,1,200,10,11.556219072001113
matuolis/financial-analysis-be,200,1,200,7,11.04273714500232
matuolis/vehicle-marketplace-be,200,1,200,8,13.510352934001276
maximister/LinkTrackerBot,200,1,200,3,6.116877063999709
mbto/eatlog,200,1,200,10,17.144849929001793
mbto/funnyranks,200,2,200,17,23.715706063001562
mehdikeshani/MyFasten,200,1,200,49,31.681533840997872
merlimmateus/vidsummize,200,1,200,1,7.433131006000622
metaloom/loom,200,1,200,28,45.30164899599913
migibert/embro,200,1,200,5,12.920052374996885
miguelperezcolom/mateu-article-2,200,2,200,13,15.59980103700218
mikerasch/dal,200,1,200,1,4.187387622001552
mingtiangg/LTG,200,1,200,17,39.68378860200028
mini-crm/mini-crm,200,2,200,8,6.193863346001308
mistresssfilth/HM8,200,1,200,2,6.369883342998946
mochegov/rock-paper-scissors,200,1,200,4,7.271024186000432
modlix-india/nocode-saas,200,7,200,10,220.7448251019996
mullerhai/mysql-modeldb,200,1,200,60,53.43737733099988
murl-digital/squier,200,2,200,2,4.702888939998957
mwilkins91/mythology-v2,200,1,200,2,7.012079887001164
my1exp/YC_Pay,200,5,200,3,18.745716083001753
mytakedotorg/mtdo,200,1,200,21,19.080070429001353
nameishari/money-transfer-service,200,1,200,4,6.189666137997847
navikt/veilarblest,200,1,200,3,7.663124119000713
neptunejing/SkillUp-Ecom-Plat,200,7,200,8,9.110405014002026
nianien/jooq-tutorial,200,2,200,4,16.0641303659977
nianien/katana,200,1,200,3,16.82020903600278
nikguscode/HackathonMax,200,1,200,6,17.298317277000024
nikolay-klekto/FunScrutContactCenterBot,200,2,200,10,9.475867973997083
niranjankhare/SeleniumPageModeller,200,1,200,2,9.020239084002242
nocarend/Tinkoff-Edu-Backend-Java,200,1,200,3,6.16053378200013
noir2k/speechear,200,1,200,5,16.097608834999846
nortal/GovStack-IM-BB-PubSub-Component,200,1,200,15,22.879050182000356
northcoder-repo/jooqSakilaDemo,200,2,200,3,41.382923697998194
nuromirzak/tinkoff_academy,200,1,200,4,9.679977673000394
nyh1030/rocketmart-pcweb,200,1,200,6,29.890356160998635
ojhughes/concourse-http-lock-resource,200,1,200,2,7.302411068001675
