name,response_code,result_count,response_code2,result_count2
nocarend/Tinkoff-Edu-Backend-Java,200,1,200,3
noir2k/speechear,200,1,200,5
nortal/GovStack-IM-BB-PubSub-Component,200,1,200,15
northcoder-repo/jooqSakilaDemo,200,2,200,3
nuromirzak/tinkoff_academy,200,1,200,4
nyh1030/rocketmart-pcweb,200,1,200,6
ojhughes/concourse-http-lock-resource,200,1,200,2
oneops/oneops,200,2,200,1
oracle/graalvm-reachability-metadata,200,2,200,2
otto15/ITMO-WEB-LAB3,200,1,200,1
pawelWielkolinski/SDABetApp,200,1,200,6
pedroafonsodias/springboot,200,1,200,2
pedroermarinho/teach-sync,200,1,200,3
philosopherstonerush/java-notes,200,2,200,1
phpbae/JOOQ,200,1,200,2
picodotdev/blog-ejemplos,200,1,200,13
poemp/metadata-gather,200,1,200,5
polytech-attendance/taskbot,200,1,200,4
ppretki/mysql-spatial-data,200,1,200,1
pratyush05/trade-app,200,1,200,3
pro100bat9/tg_chat,200,1,200,4
propan/tea-buddy,200,1,200,4
puzink/Wallet,200,1,200,2
pvkvetkin/trackcontent,200,1,200,2
pvorb/npm-stat.com,200,1,200,1
qiao-zhi/springboot-ssm,200,1,200,1
qimok/sharding-jdbc-test,200,1,200,5
quarkiverse/quarkus-jooq,200,2,200,6
quickmsg/smqtt,200,1,200,3
quinscape/automaton,200,1,200,38
quinscape/domainql,200,1,200,7
quinscape/domainqlstarter,200,1,200,6
r0masaN/PurchaseTask,200,1,200,2
raissabeccarelli/UniBite,200,1,200,13
ralscha/attic,200,2,200,15
ralscha/blog2019,200,2,200,12
ralscha/blog2020,200,1,200,1
ralscha/otodo,200,1,200,11
ralscha/realworld-spring-boot-jooq,200,1,200,11
ralscha/springsecuritytotp,200,1,200,3
ralscha/webauthn-demo,200,1,200,3
ramoncunha/rinha-backend,200,1,200,1
rayokota/kcache,200,1,200,1
renan-schmitt/spring-boot-jooq,200,1,200,1
rench/scio,200,1,200,1
reportportal/commons-dao,200,1,200,32
revensif/Tinkoff_Course2024,200,1,200,5
rockmanck/lifebook,200,1,200,7
rodano/rodano,200,1,200,50
rogoo/java-raiz,200,1,200,2
romchellis/transactions,200,1,200,2
rzenkov/perfplayground,200,1,200,4
s3nkyh/Library,200,1,200,4
saksonikEgor/java-course-2023-backend-template-master,200,1,200,4
saltybots/secretsalty-backend-j,200,1,200,3
sayseakleng/template,200,1,200,1
sdumancic/quarkus-template,200,1,200,1
sebastian-raubach/frickl-web-server,200,1,200,5
self-xdsd/self-storage,200,1,200,10
serdeliverance/turro-lingo-api,200,1,200,3
serje3/BotDiscordBackend,200,1,200,7
sfk25/annually_report,200,1,200,6
sge93/jooq-testcontainers-demo,200,1,200,2
shengquan-ni/reshape-on-amber,200,2,200,2
shev-81/jooqtest,200,1,200,2
shileishmily/spring-boot-jooq-demo,200,1,200,1
shilohooo/learn-jooq,200,3,200,4
sify21/testjooq,200,1,200,1
sikt-no/graphitron,200,1,200,78
